# Simulated random data file for batch processing
# timestamp: 2023-04-16 13:23:35
# Sparhawk Mulder
# ------------------------

"photos","rating"
1,3.3122114252022
2,3.10761148871477
3,4.35918567433978
4,3.01979955725377
5,4.13754178641175
6,3.52589222699774
7,2.55506850070658
8,4.24649404437856
9,3.10188840486017
10,3.3417760113981
11,3.3727151865315
12,NA
13,2.5546353047633
14,4.64049001094729
15,2.47366334523002
16,3.02847412897548
17,3.52221525811142
18,3.24011484033356
19,3.89720864431125
20,3.2982650200807
21,4.00785521739017
22,2.52022076150291
23,4.40835361085266
24,3.38199004770795
25,3.44452736606077
26,3.59059242111816
27,3.40281402429099
28,4.42035055826611
29,3.16455549212344
30,3.55947730061401
31,1.40616487090728
32,3.48016969890016
33,4.01201650277035
34,3.25361800319268
35,4.07729193856244
36,2.78315952238372
37,2.47145255902138
38,NA
39,3.32881747624072
40,3.93022746200625
41,2.5302889354437
42,3.06332060001925
43,3.67107769168671
44,3.08234398564073
45,2.65812208224962
46,3.35520105717524
47,4.7228020600696
48,4.35359311707635
49,4.10076728486055
50,3.89956827175643
51,3.73761888851098
52,3.89645580626957
53,4.00527824031808
54,4.30798394438152
55,3.24966035315979
56,2.74130756983288
57,3.7301339238244
58,3.37556181894218
59,3.0592839364278
60,4.757523786689
61,2.75971476597482
62,2.44335823773612
63,2.51568021662146
64,4.11683934684207
65,2.86251377231082
66,3.22686158418044
67,3.86848616453205
68,3.85793871156635
69,2.34769057985081
70,3.21592551059586
71,4.3012439280302
72,3.14813493924607
73,2.94350090669674
74,3.87937223837453
75,3.09829233622196
76,2.8628816353359
77,2.75064248872934
