# Simulated random data file for batch processing
# timestamp: 2023-04-16 13:23:35
# Sparhawk Mulder
# ------------------------

"photos","rating"
1,4.07490968010453
2,3.16265033660911
3,4.05950937896066
4,3.46558303618957
5,3.6607024195243
6,2.78736423140028
7,3.18131918509287
8,3.47805711073635
9,2.79911137924037
10,2.90615232156646
11,2.98139277727728
12,3.42413104664957
13,2.76158156180292
14,4.01623582123237
15,3.31499272591025
16,4.20361083513285
17,4.63866140232281
18,4.25434638443554
19,NA
20,4.70705558613779
21,3.83191560849651
22,4.82708014305711
23,3.51851954625206
24,2.56208017536444
25,3.48402661431227
26,3.5429448792766
27,2.64764084395382
28,2.41965491581763
29,3.06625861887186
30,4.13551242907794
31,3.35101459766932
32,3.94470479784184
33,3.97299429409421
34,4.00353233338664
35,3.00039907605847
36,4.19483175842981
37,3.677857909093
38,3.43458431216382
39,2.62107247093253
40,4.27793828809868
41,2.43631038879625
42,2.27028620790031
43,3.1452625305941
44,2.99427163031705
45,3.49616003163408
46,3.39307482201899
47,2.59265858238183
48,2.91888256110333
49,4.75039870580231
50,3.30230480740562
51,2.22808278337933
52,2.4739301659174
53,3.44929280473263
54,3.32914731814517
55,3.63750501073778
56,2.73565145418358
57,4.33123889133306
58,4.06880649854207
59,3.11580488133767
60,4.04126333194746
61,3.86694706437287
62,4.48459748291598
63,4.1488588739405
64,3.52913962065593
65,3.42908444157252
66,3.64667518271321
67,3.1863817685458
68,3.64652650592982
69,3.81803095544876
70,3.76492237517764
71,3.16672083265938
72,3.25063345047718
73,3.59446188298909
74,3.43445626562527
75,3.03507904080909
76,3.73870556387016
77,2.32541902138764
78,3.80575378163864
79,4.06202430918936
80,3.41014732842626
81,3.29187687336482
82,4.61636107197826
83,3.68261260727844
84,3.28198734640631
