# Simulated random data file for batch processing
# timestamp: 2023-04-16 13:23:35
# Sparhawk Mulder
# ------------------------

"photos","rating"
1,4.04961544358203
2,3.52859716297116
3,3.38533122501622
4,3.7549129620437
5,2.58896624967693
6,2.88119765536229
7,3.05768405632971
8,3.13138157901377
9,3.6576487539334
10,2.77778327095827
11,2.45183780746681
12,3.97887726129682
13,4.25380034638585
14,4.36069193861782
15,3.49725919804031
16,3.20098051156572
17,2.92062073044726
18,4.06859540169834
19,3.26396051708365
20,3.97508102292434
21,3.24160522859477
22,2.76625806342581
23,2.88200243450922
24,2.93638635071504
25,3.81497513479185
26,3.74747848673379
27,4.07480315611102
28,3.07073382848046
29,2.43227420424207
30,3.41983415304276
31,2.71603619322054
32,2.41688038290581
33,3.13042548238366
34,4.17113151414222
35,3.53858797342049
36,4.30991197441184
37,3.04140658369381
38,3.0957999470099
39,3.61113797817342
40,4.2387779311378
41,4.74838702216018
42,3.71644239933597
43,3.45221982940906
44,2.85510418300568
45,3.74283214638949
46,3.41037244983356
47,2.55590651039316
48,2.58702688021524
49,3.69048444514787
50,3.48723930393894
51,3.84709969561023
52,3.30767139592044
53,2.83029365827506
54,3.6459495542054
55,2.69851051572717
56,3.79894685364949
57,3.09186007222182
58,2.85479595611854
59,1.71790387080003
60,2.86299219707552
61,3.54162186579375
62,3.58638149138091
63,2.22972558181734
64,3.55845798465392
65,2.26264132861838
66,4.68334193151104
67,2.9004250879057
68,3.65026124661374
69,2.98350853375931
70,4.24047618791042
71,2.41210877030785
72,3.1592169617545
73,4.77053758481918
74,4.19340034858907
75,3.04937646052663
76,3.09415424816502
77,NA
78,3.88635617047499
79,2.28575183654978
80,3.45453234922166
81,2.88373126712352
82,3.15287022151038
83,3.97804729306991
84,3.37230987150902
85,3.52564196640283
86,3.75282941864659
87,3.41481349974649
88,3.90357651858167
89,3.4995589775802
90,3.95713374091366
