# Simulated random data file for batch processing
# timestamp: 2023-04-16 13:23:35
# Sparhawk Mulder
# ------------------------

"photos","rating"
1,3.09196755363019
2,3.51872745217844
3,3.03052800698172
4,4.36140609986214
5,2.95028735795924
6,3.04167744860085
7,3.98922711716535
8,3.08702125408285
9,3.47666907685449
10,2.45062938235097
11,3.34157622539452
12,2.49139665011554
13,2.2970441103773
14,3.79194873253742
15,3.20442382421447
16,3.33022147452478
17,3.12218648019272
18,2.87072101661545
19,3.21644660971944
20,3.32765722441612
21,4.16968904452324
22,2.96449107567913
23,3.30150103351606
24,3.206297518919
25,2.87403518041187
26,3.83791305427074
27,2.93873751046883
28,3.52339048358405
29,2.53036548491897
30,NA
31,NA
32,3.71672231559969
33,3.96622193855046
34,3.69058871018714
35,3.45239218049879
36,3.60264625200415
37,2.81800013504764
38,3.68084601380405
39,2.98768219156501
40,2.34775369026805
41,1.93171039808263
42,3.40579963376426
43,3.43983012715336
44,3.24403319086613
45,3.06643385802043
46,2.27025952424157
47,2.10167505583173
48,4.0532394184794
49,2.24521108968212
50,3.20871911145386
51,3.86568304932699
52,2.61753701932424
53,3.07819692796766
54,3.06176828273867
55,3.22979104914883
56,3.16921303207279
57,2.52344528455925
58,1.78691051797639
59,4.53569196767702
60,1.90814766771806
61,4.07611676165923
62,3.86170962110169
63,2.0169925985269
64,2.73768706195139
65,2.67769881046744
66,2.28354918589858
67,NA
68,4.06047245564999
69,3.39856868648355
70,3.49830429659444
71,2.9787759214904
72,2.94803063231011
73,4.30294045876385
74,3.93334191081259
75,4.00419829573766
76,3.3561506130606
77,4.02961137717694
78,3.45632537171344
79,3.14627316479085
80,2.82256972476603
81,2.48241436421462
82,3.34576575870799
83,2.49935553299023
84,NA
85,2.27164960537926
86,NA
87,3.02313779785503
88,2.47221948009785
89,3.23382814016241
90,4.29204491553318
91,3.23551422895816
